SPECIES_LU_VERSION; ISGS Species List
TERMS_AND_CONDITIONS; Free to use, cite original source
SPECIES_NR;NAME;GENUS;SPECIES;AUTHOR;SYNONYM;VALID_NR;VALID_NAME;SECUNDUM
280;Didymodon insulanus;Didymodon;insulanus;NA;FALSE;280;Didymodon insulanus;NA
281;Didymodon nicholsonii;Didymodon;nicholsonii;NA;FALSE;281;Didymodon nicholsonii;NA
282;Didymodon rigidulus;Didymodon;rigidulus;NA;FALSE;282;Didymodon rigidulus;NA
283;Didymodon sinuosus;Didymodon;sinuosus;NA;FALSE;283;Didymodon sinuosus;NA
284;Didymodon spadiceus;Didymodon;spadiceus;NA;FALSE;284;Didymodon spadiceus;NA
285;Didymodon sp.;Didymodon;sp.;NA;FALSE;285;Didymodon sp.;NA
286;Didymodon vinealis;Didymodon;vinealis;NA;FALSE;286;Didymodon vinealis;NA
287;Digitalis purpurea;Digitalis;purpurea;NA;FALSE;287;Digitalis purpurea;NA
288;Dimerella pineti;Dimerella;pineti;NA;FALSE;288;Dimerella pineti;NA
289;Diplophyllum albicans;Diplophyllum;albicans;NA;FALSE;289;Diplophyllum albicans;NA
